season,team,head_coach,offensive_coordinator,defensive_coordinator,scheme_pass_rate_prior,notes
2026,KC,Andy Reid,Matt Nagy,Steve Spagnuolo,0.58,seed — verify against official depth/coaching announcements
2026,BUF,Sean McDermott,Joe Brady,Bobby Babich,0.55,seed — verify
2026,PHI,Nick Sirianni,Kevin Patullo,Vic Fangio,0.52,seed — verify
2026,DET,Dan Campbell,John Morton,Kelvin Sheppard,0.54,seed — verify
2026,BAL,John Harbaugh,Todd Monken,Zach Orr,0.53,seed — verify
2026,SF,Kyle Shanahan,Klay Kubiak,Robert Saleh,0.56,seed — verify
2026,CIN,Zac Taylor,Dan Pitcher,Al Golden,0.57,seed — verify
2026,MIA,Mike McDaniel,Frank Smith,Anthony Weaver,0.59,seed — verify
2026,DAL,Brian Schottenheimer,Brian Schottenheimer,Matt Eberflus,0.55,seed — verify HC/OC dual role
2026,GB,Matt LaFleur,Adam Stenavich,Jeff Hafley,0.54,seed — verify
2026,MIN,Kevin O'Connell,Wes Phillips,Brian Flores,0.56,seed — verify
2026,LAC,Jim Harbaugh,Greg Roman,Jesse Minter,0.51,seed — verify
2026,LAR,Sean McVay,Mike LaFleur,Chris Shula,0.58,seed — verify
2026,SEA,Mike Macdonald,Kliff Kingsbury,Aden Durde,0.55,seed — verify
2026,TB,Todd Bowles,Josh Grizzard,Todd Bowles,0.53,seed — verify
2026,ATL,Raheem Morris,Zac Robinson,Jeff Ulbrich,0.54,seed — verify
2026,NO,Kellen Moore,Doug Nussmeier,Brandon Staley,0.55,seed — verify
2026,CAR,Dave Canales,Brad Idzik,Jonathan Fletcher,0.52,seed — verify
2026,NYG,Brian Daboll,Mike Kafka,Shane Bowen,0.53,seed — verify
2026,NYJ,Aaron Glenn,Tanner Engstrand,Steve Wilks,0.51,seed — verify
2026,NE,Mike Vrabel,Josh McDaniels,Terrelle Pryor,0.52,seed — verify DC TBD confirm
2026,DEN,Sean Payton,Joe Lombardi,Vance Joseph,0.54,seed — verify
2026,LV,Pete Carroll,Chip Kelly,Patrick Graham,0.53,seed — verify
2026,HOU,DeMeco Ryans,Nick Caley,Matt Burke,0.52,seed — verify
2026,IND,Shane Steichen,Jim Bob Cooter,Lou Anarumo,0.54,seed — verify
2026,JAX,Liam Coen,Liam Coen,Anthony Campanile,0.55,seed — verify
2026,TEN,Brian Callahan,Nick Holz,Jim Schwartz,0.52,seed — verify
2026,CLE,Kevin Stefanski,Tommy Rees,Jim Schwartz,0.51,seed — verify
2026,PIT,Arthur Smith,Arthur Smith,Teryl Austin,0.50,seed — verify
2026,CHI,Ben Johnson,Declan Doyle,Dennis Allen,0.56,seed — verify
2026,WAS,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.,0.55,seed — verify OC continuity
2026,ARI,Jonathan Gannon,Drew Petzing,Nick Rallis,0.53,seed — verify
