player_id,season,week,position,fantasy_ppr
00-0023853,2021,1,K,0.0
00-0026190,2025,1,DE,0.0
00-0022824,2021,1,P,0.0
00-0016919,2019,1,K,0.0
00-0023682,2021,1,QB,0.72
00-0027647,2021,1,FS,0.0
00-0027136,2021,1,S,0.0
00-0027103,2021,1,P,0.0
00-0022924,2021,1,QB,12.02
00-0027662,2021,1,DE,0.0
00-0023252,2021,1,K,0.0
00-0022942,2020,1,QB,14.82
00-0022127,2020,1,TE,1.2
00-0023682,2020,1,QB,5.44
00-0022924,2020,1,QB,22.06
00-0023534,2020,1,P,0.0
00-0020531,2020,1,QB,14.4
00-0019596,2020,1,QB,20.46
00-0027865,2023,1,DE,0.0
00-0019596,2022,1,QB,10.38
00-0027943,2023,1,CB,0.0
00-0027962,2023,1,DE,0.0
00-0023853,2025,1,K,0.0
00-0026158,2025,1,QB,12.2
00-0023459,2025,1,QB,25.659999999999997
00-0027993,2021,1,C,0.0
00-0026498,2025,1,QB,13.600000000000001
00-0019596,2019,1,QB,25.64
00-0027949,2021,1,DE,0.0
00-0023459,2021,1,QB,1.3200000000000003
00-0024243,2021,1,TE,2.9000000000000004
00-0027875,2021,1,OT,0.0
00-0025565,2020,1,K,0.0
00-0025418,2020,1,TE,12.4
00-0024239,2020,1,CB,0.0
00-0024333,2020,1,K,0.0
00-0027885,2021,1,DT,0.0
00-0027943,2021,1,CB,0.0
00-0027860,2021,1,CB,0.0
00-0027862,2021,1,DE,0.0
00-0029293,2023,1,WR,0.8
00-0029592,2023,1,G,0.0
00-0023853,2022,1,K,0.0
00-0023252,2022,1,K,0.0
00-0029255,2023,1,MLB,0.0
00-0029239,2023,1,RB,0.0
00-0029604,2023,1,QB,16.459999999999997
00-0029606,2023,1,FS,0.0
00-0029562,2023,1,OLB,0.0
00-0029607,2023,1,OLB,0.0
00-0026858,2025,1,K,0.0
00-0026027,2021,1,LS,0.0
00-0026143,2021,1,QB,7.36
00-0029263,2021,1,QB,27.06
00-0026143,2022,1,QB,15.279999999999998
00-0029585,2021,1,DE,0.0
00-0020531,2019,1,QB,20.8
00-0029261,2021,1,CB,0.0
00-0028872,2021,1,P,0.0
00-0028924,2021,1,FS,0.0
00-0029164,2021,1,G,0.8
00-0025580,2021,1,K,0.0
00-0027103,2020,1,P,0.0
00-0026564,2020,1,NT,0.0
00-0026189,2020,1,WR,6.6000000000000005
00-0026858,2020,1,K,0.0
00-0026143,2020,1,QB,23.9
00-0026035,2021,1,WR,14.4
00-0028224,2021,1,CB,0.0
00-0028171,2021,1,DT,0.0
00-0025565,2021,1,K,0.0
00-0029255,2021,1,MLB,0.0
00-0028292,2021,1,LB,0.0
00-0030061,2023,1,TE,8.1
00-0029822,2023,1,K,0.0
00-0029714,2023,1,LS,0.0
00-0025565,2023,1,K,0.0
00-0027940,2025,1,OLB,0.0
00-0030459,2023,1,FS,0.0
00-0030140,2023,1,P,0.0
00-0027685,2020,1,WR,10.5
00-0022161,2019,1,OLB,0.0
00-0022127,2019,1,TE,10.5
00-0027114,2020,1,P,0.0
00-0027656,2020,1,TE,3.1
00-0029822,2021,1,K,0.0
00-0030092,2021,1,P,0.0
00-0029799,2021,1,DE,0.0
00-0030098,2021,1,K,0.0
00-0030083,2021,1,G,0.0
00-0027662,2020,1,DE,0.0
00-0027150,2020,1,WR,13.0
00-0027647,2020,1,FS,0.0
00-0027136,2020,1,S,0.0
00-0027691,2020,1,WR,0.0
00-0029669,2021,1,OLB,0.0
00-0029653,2021,1,DT,0.0
00-0029632,2021,1,WR,1.7000000000000002
00-0030431,2023,1,WR,11.7
00-0026197,2022,1,QB,0.0
