player_id,season,week,passing_yards
00-0023459,2025,1,244.0
00-0019596,2019,3,306.0
00-0020531,2019,1,370.0
00-0020531,2019,13,184.0
00-0026498,2025,17,269.0
00-0026300,2021,12,0.0
00-0026300,2022,14,10.0
00-0026300,2022,21,74.0
00-0026544,2022,18,25.0
00-0028118,2025,14,6.0
00-0022787,2019,12,55.0
00-0029263,2025,6,0.0
00-0029263,2025,10,45.0
00-0022924,2019,2,75.0
00-0029604,2025,11,48.0
00-0022942,2019,2,293.0
00-0029604,2025,12,199.0
00-0022942,2019,5,211.0
00-0022942,2019,7,329.0
00-0029604,2025,16,197.0
00-0022942,2019,10,207.0
00-0022942,2019,15,307.0
00-0022942,2019,17,281.0
00-0023459,2019,13,243.0
00-0023459,2019,14,195.0
00-0023459,2019,16,216.0
00-0030565,2025,3,289.0
00-0030565,2025,17,176.0
00-0023682,2019,3,29.0
00-0029665,2019,17,96.0
00-0031237,2025,11,0.0
00-0032268,2024,5,-2.0
00-0032268,2025,14,30.0
00-0026158,2019,8,174.0
00-0031503,2023,5,0.0
00-0026544,2019,4,195.0
00-0026625,2019,10,204.0
00-0032950,2025,3,173.0
00-0033106,2025,2,334.0
00-0033119,2025,2,0.0
00-0033119,2025,5,0.0
00-0033319,2025,13,0.0
00-0033873,2025,3,224.0
00-0033873,2025,13,261.0
00-0027939,2019,2,333.0
00-0032436,2022,1,0.0
00-0032436,2022,2,0.0
00-0032436,2022,16,40.0
00-0032436,2022,17,9.0
00-0033949,2025,4,0.0
00-0033949,2025,18,23.0
00-0028118,2019,4,7.0
00-0035251,2019,16,224.0
00-0033869,2021,11,19.0
00-0034577,2025,4,0.0
00-0034577,2025,10,0.0
00-0023436,2020,11,166.0
00-0023459,2020,17,240.0
00-0026143,2020,6,371.0
00-0026143,2020,12,185.0
00-0026143,2020,13,273.0
00-0026158,2020,6,186.0
00-0027688,2020,14,18.0
00-0027939,2020,2,397.0
00-0027939,2020,15,209.0
00-0034771,2025,19,2.0
00-0029263,2020,18,174.0
00-0029701,2020,16,121.0
00-0034796,2025,15,150.0
00-0034796,2025,16,101.0
00-0031280,2020,2,284.0
00-0031280,2020,8,111.0
00-0031280,2020,11,275.0
00-0034401,2024,18,28.0
00-0031800,2020,16,137.0
00-0033869,2022,6,144.0
00-0032950,2020,8,123.0
00-0036389,2023,1,170.0
00-0033106,2020,15,209.0
00-0035100,2025,3,140.0
00-0035100,2025,12,14.0
00-0033537,2020,9,281.0
00-0033537,2020,13,341.0
00-0033537,2020,17,365.0
00-0033873,2020,15,254.0
00-0036945,2024,19,0.0
00-0034796,2020,1,275.0
00-0034796,2020,14,163.0
00-0037012,2024,12,0.0
00-0034855,2020,11,204.0
00-0034855,2020,17,196.0
00-0034869,2020,13,186.0
00-0034955,2020,3,53.0
00-0040676,2025,2,175.0
00-0034855,2025,2,215.0
00-0035228,2020,13,173.0
00-0035704,2020,7,254.0
00-0035710,2020,1,279.0
00-0035710,2020,3,179.0
00-0036389,2020,5,18.0
00-0036442,2020,2,316.0
00-0036442,2020,4,300.0
00-0036442,2020,5,183.0
00-0019596,2021,12,226.0
00-0023459,2021,12,307.0
00-0026143,2021,1,164.0
00-0026143,2021,16,215.0
00-0026143,2021,17,197.0
00-0026300,2021,8,17.0
00-0026498,2021,19,202.0
00-0027939,2021,17,0.0
00-0035704,2025,3,15.0
00-0035704,2025,10,0.0
00-0035704,2025,14,0.0
00-0028986,2021,10,81.0
00-0035710,2025,3,228.0
00-0035710,2025,7,288.0
00-0029604,2021,14,216.0
00-0029263,2021,1,254.0
00-0031237,2021,10,226.0
00-0031280,2021,10,261.0
00-0035993,2025,16,65.0
00-0031503,2021,2,111.0
00-0031503,2021,8,56.0
00-0031800,2021,18,120.0
00-0032268,2021,17,0.0
00-0032268,2021,18,4.0
00-0036212,2025,9,261.0
00-0032950,2021,8,231.0
00-0033077,2021,2,237.0
00-0033077,2021,6,445.0
00-0033077,2021,11,216.0
00-0033106,2021,15,216.0
00-0033119,2021,6,25.0
00-0033119,2021,16,0.0
00-0036264,2025,7,179.0
00-0036264,2025,16,77.0
00-0033873,2021,6,397.0
00-0034438,2021,14,0.0
00-0034177,2021,16,187.0
00-0026625,2023,6,102.0
00-0031345,2023,18,0.0
00-0035100,2025,2,241.0
00-0036972,2025,2,279.0
00-0035228,2021,18,240.0
00-0034857,2021,1,270.0
00-0034857,2021,3,358.0
00-0031503,2023,13,41.0
00-0031503,2023,14,0.0
00-0031076,2019,5,0.0
00-0034869,2021,2,305.0
00-0034869,2021,6,207.0
00-0034869,2021,7,112.0
00-0034869,2025,12,244.0
00-0035228,2021,2,400.0
00-0036226,2022,6,59.0
00-0035228,2021,14,383.0
00-0033106,2023,7,284.0
00-0033662,2023,11,15.0
00-0020531,2019,8,373.0
00-0032434,2020,16,371.0
00-0033106,2020,18,155.0
00-0033873,2023,5,281.0
00-0036971,2023,18,280.0
00-0023459,2025,2,203.0
00-0023459,2025,10,161.0
00-0026498,2025,6,181.0
00-0026498,2025,7,182.0
00-0029263,2025,2,450.0
00-0029263,2025,3,160.0
00-0032268,2025,11,213.0
00-0032434,2025,18,72.0
00-0033106,2025,1,225.0
00-0035993,2020,15,7.0
00-0033319,2025,14,3.0
00-0036212,2021,10,158.0
00-0037834,2025,11,200.0
00-0034869,2023,3,0.0
00-0034869,2023,4,0.0
00-0034869,2023,5,1.0
00-0034869,2023,13,0.0
00-0026158,2022,14,1.0
00-0034869,2023,16,81.0
00-0034869,2023,17,0.0
00-0028986,2022,2,0.0
00-0019596,2020,21,201.0
00-0029701,2019,19,88.0
00-0029604,2022,13,173.0
00-0026544,2020,9,94.0
00-0027796,2020,16,0.0
00-0035752,2020,1,0.0
00-0029604,2020,8,160.0
00-0031237,2019,8,0.0
00-0032436,2022,18,13.0
00-0036898,2021,13,49.0
00-0031280,2020,15,53.0
00-0031288,2020,14,0.0
00-0031288,2020,17,20.0
00-0033119,2022,17,0.0
00-0036929,2021,16,135.0
00-0033275,2022,9,9.0
00-0020531,2019,2,38.0
00-0021206,2019,2,24.0
00-0022787,2019,7,65.0
00-0036972,2021,1,281.0
00-0022924,2021,18,244.0
00-0022924,2021,19,215.0
00-0023459,2021,4,248.0
00-0025708,2019,13,0.0
00-0029263,2021,14,260.0
00-0029604,2021,10,294.0
00-0029701,2021,10,213.0
00-0032950,2019,18,3.0
00-0027939,2019,1,239.0
00-0028118,2019,14,26.0
00-0031280,2021,18,186.0
00-0029567,2019,13,93.0
00-0029665,2019,10,20.0
