player_id,game_id,season,week,position,y_true,y_pred,fold_idx
00-0019596,2020_01_TB_NO,2020,1,QB,239.0,284.6713810623339,0
00-0020531,2020_01_TB_NO,2020,1,QB,160.0,277.0682284877045,0
00-0022924,2020_01_PIT_NYG,2020,1,QB,229.0,274.3910962186149,0
00-0022942,2020_01_IND_JAX,2020,1,QB,363.0,273.3930185145625,0
00-0023459,2020_01_GB_MIN,2020,1,QB,364.0,277.5448030346828,0
00-0023682,2020_01_MIA_NE,2020,1,QB,191.0,265.15076820011063,0
00-0026143,2020_01_SEA_ATL,2020,1,QB,450.0,281.4044122824481,0
00-0026498,2020_01_CHI_DET,2020,1,QB,297.0,270.59483221705415,0
00-0027939,2020_01_MIA_NE,2020,1,QB,155.0,267.1787485275831,0
00-0028118,2020_01_LAC_CIN,2020,1,QB,208.0,249.56122158828532,0
00-0029263,2020_01_SEA_ATL,2020,1,QB,322.0,268.3567181176962,0
00-0029604,2020_01_GB_MIN,2020,1,QB,259.0,257.6937185056722,0
00-0029701,2020_01_TEN_DEN,2020,1,QB,249.0,239.0386996303728,0
00-0031237,2020_01_LV_CAR,2020,1,QB,269.0,265.9748388669882,0
00-0031280,2020_01_LV_CAR,2020,1,QB,239.0,255.68668244166196,0
00-0031345,2020_01_ARI_SF,2020,1,QB,259.0,276.40032599963797,0
00-0032950,2020_01_PHI_WAS,2020,1,QB,270.0,258.0749651672946,0
00-0033077,2020_01_DAL_LA,2020,1,QB,266.0,297.80160450196524,0
00-0033106,2020_01_DAL_LA,2020,1,QB,275.0,284.14469238898533,0
00-0033537,2020_01_HOU_KC,2020,1,QB,253.0,281.14184024072836,0
00-0033869,2020_01_CHI_DET,2020,1,QB,242.0,270.1349481809599,0
00-0033873,2020_01_HOU_KC,2020,1,QB,211.0,282.34959528861384,0
00-0034796,2020_01_CLE_BAL,2020,1,QB,275.0,194.37494726356644,0
00-0034855,2020_01_CLE_BAL,2020,1,QB,189.0,275.8987486790027,0
00-0034857,2020_01_NYJ_BUF,2020,1,QB,312.0,194.62046599131597,0
00-0034869,2020_01_NYJ_BUF,2020,1,QB,215.0,249.77386160542034,0
00-0035228,2020_01_ARI_SF,2020,1,QB,230.0,270.8233550753595,0
00-0035232,2020_01_PHI_WAS,2020,1,QB,178.0,256.63132611702974,0
00-0035289,2020_01_IND_JAX,2020,1,QB,173.0,271.9189896669768,0
00-0035704,2020_01_TEN_DEN,2020,1,QB,216.0,240.9859793137779,0
00-0035710,2020_01_PIT_NYG,2020,1,QB,279.0,267.87117278871335,0
00-0036442,2020_01_LAC_CIN,2020,1,QB,193.0,249.7142275584156,0
00-0019596,2020_02_CAR_TB,2020,2,QB,217.0,232.5509530169106,0
00-0020531,2020_02_NO_LV,2020,2,QB,312.0,253.8187466517748,0
00-0022924,2020_02_DEN_PIT,2020,2,QB,311.0,254.15059095250024,0
00-0022942,2020_02_MIN_IND,2020,2,QB,214.0,278.92046820277756,0
00-0023459,2020_02_DET_GB,2020,2,QB,240.0,290.6901741685218,0
00-0023682,2020_02_BUF_MIA,2020,2,QB,328.0,227.80788575568042,0
00-0026143,2020_02_ATL_DAL,2020,2,QB,273.0,279.3308860101591,0
00-0026498,2020_02_DET_GB,2020,2,QB,244.0,264.8000574890524,0
00-0027939,2020_02_NE_SEA,2020,2,QB,397.0,232.26627359838957,0
00-0029263,2020_02_NE_SEA,2020,2,QB,288.0,262.9451977371034,0
00-0029604,2020_02_MIN_IND,2020,2,QB,113.0,248.47131157387054,0
00-0029701,2020_02_JAX_TEN,2020,2,QB,239.0,252.44636206056998,0
00-0031237,2020_02_CAR_TB,2020,2,QB,367.0,236.52007177653957,0
00-0031280,2020_02_NO_LV,2020,2,QB,284.0,248.61584876605423,0
00-0031345,2020_02_SF_NYJ,2020,2,QB,131.0,189.6222304815236,0
00-0032436,2020_02_DEN_PIT,2020,2,QB,256.0,197.2186841173723,0
00-0032950,2020_02_LA_PHI,2020,2,QB,242.0,272.7985740638794,0
00-0033077,2020_02_ATL_DAL,2020,2,QB,450.0,269.71171481294914,0
00-0033106,2020_02_LA_PHI,2020,2,QB,267.0,241.6720648458258,0
00-0033319,2020_02_SF_NYJ,2020,2,QB,71.0,130.43838416314708,0
00-0033537,2020_02_BAL_HOU,2020,2,QB,275.0,235.84121224255824,0
00-0033869,2020_02_NYG_CHI,2020,2,QB,190.0,238.4366718781153,0
00-0033873,2020_02_KC_LAC,2020,2,QB,302.0,261.9404479926029,0
00-0034796,2020_02_BAL_HOU,2020,2,QB,204.0,190.19117654332481,0
00-0034855,2020_02_CIN_CLE,2020,2,QB,219.0,224.83170881528298,0
00-0034857,2020_02_BUF_MIA,2020,2,QB,415.0,217.71164828047085,0
00-0034869,2020_02_SF_NYJ,2020,2,QB,179.0,239.7798945304711,0
00-0035228,2020_02_WAS_ARI,2020,2,QB,286.0,234.6273612749496,0
00-0035232,2020_02_WAS_ARI,2020,2,QB,223.0,247.5028160198643,0
00-0035289,2020_02_JAX_TEN,2020,2,QB,339.0,234.90157871226182,0
00-0035710,2020_02_NYG_CHI,2020,2,QB,241.0,254.04641097178018,0
00-0036355,2020_02_KC_LAC,2020,2,QB,311.0,237.80791765895356,0
00-0036442,2020_02_CIN_CLE,2020,2,QB,316.0,244.2340470905615,0
00-0019596,2020_03_TB_DEN,2020,3,QB,297.0,269.5272964953211,0
00-0020531,2020_03_GB_NO,2020,3,QB,288.0,259.96003342833,0
00-0022924,2020_03_HOU_PIT,2020,3,QB,237.0,280.47796057635287,0
00-0022942,2020_03_NYJ_IND,2020,3,QB,217.0,265.6005519012317,0
00-0023459,2020_03_GB_NO,2020,3,QB,283.0,258.3748058833911,0
00-0023682,2020_03_MIA_JAX,2020,3,QB,160.0,268.18434086031283,0
00-0026143,2020_03_CHI_ATL,2020,3,QB,238.0,268.2588653625672,0
00-0026498,2020_03_DET_ARI,2020,3,QB,270.0,276.64004489103957,0
00-0027939,2020_03_LV_NE,2020,3,QB,162.0,249.63360800291719,0
00-0029263,2020_03_DAL_SEA,2020,3,QB,315.0,271.6333866881211,0
00-0029567,2020_03_CHI_ATL,2020,3,QB,188.0,137.39348405681153,0
00-0029604,2020_03_TEN_MIN,2020,3,QB,251.0,240.9332484241775,0
00-0029701,2020_03_TEN_MIN,2020,3,QB,321.0,263.04892947839954,0
00-0031237,2020_03_CAR_LAC,2020,3,QB,235.0,269.02045974192924,0
00-0031280,2020_03_LV_NE,2020,3,QB,261.0,274.6247917603416,0
00-0032436,2020_03_TB_DEN,2020,3,QB,176.0,215.52802573410403,0
00-0032950,2020_03_CIN_PHI,2020,3,QB,225.0,264.10915933810065,0
00-0033077,2020_03_DAL_SEA,2020,3,QB,472.0,279.7913372861003,0
00-0033106,2020_03_LA_BUF,2020,3,QB,321.0,248.4284986169886,0
00-0033319,2020_03_SF_NYG,2020,3,QB,343.0,211.0743286203634,0
00-0033537,2020_03_HOU_PIT,2020,3,QB,264.0,272.53665446204934,0
00-0033869,2020_03_CHI_ATL,2020,3,QB,128.0,189.12376570962658,0
00-0033873,2020_03_KC_BAL,2020,3,QB,385.0,234.1666812474855,0
00-0034796,2020_03_KC_BAL,2020,3,QB,97.0,200.37279526430652,0
00-0034855,2020_03_WAS_CLE,2020,3,QB,156.0,241.15679621553835,0
