player_id,game_id,season,week,position,y_true,y_pred,fold_idx
00-0022127,2020_01_LV_CAR,2020,1,TE,1.0,2.436323194129308,0
00-0025418,2020_01_SEA_ATL,2020,1,TE,4.0,3.3037333354448357,0
00-0027061,2020_01_TB_NO,2020,1,TE,7.0,3.229933649702019,0
00-0027656,2020_01_TB_NO,2020,1,TE,3.0,4.54470573746459,0
00-0027696,2020_01_CHI_DET,2020,1,TE,7.0,4.751649127918092,0
00-0027981,2020_01_GB_MIN,2020,1,TE,2.0,3.282879190348304,0
00-0029738,2020_01_HOU_KC,2020,1,TE,2.0,2.358499287577084,0
00-0030061,2020_01_PHI_WAS,2020,1,TE,7.0,5.0805836474148345,0
00-0030155,2020_01_CHI_DET,2020,1,TE,1.0,2.4990796271913895,0
00-0030181,2020_01_IND_JAX,2020,1,TE,4.0,4.488398169479875,0
00-0030216,2020_01_TB_NO,2020,1,TE,1.0,2.997178977483601,0
00-0030443,2020_01_PIT_NYG,2020,1,TE,1.0,2.3573346564007296,0
00-0030470,2020_01_PIT_NYG,2020,1,TE,2.0,3.082968141566248,0
00-0030506,2020_01_HOU_KC,2020,1,TE,6.0,4.938059907790055,0
00-0030549,2020_01_IND_JAX,2020,1,TE,1.0,3.0291971466136838,0
00-0031260,2020_01_PHI_WAS,2020,1,TE,8.0,4.6633277782476155,0
00-0031387,2020_01_PIT_NYG,2020,1,TE,2.0,3.3374085407113356,0
00-0031484,2020_01_LV_CAR,2020,1,TE,1.0,3.0278465934798118,0
00-0031558,2020_01_ARI_SF,2020,1,TE,2.0,2.898554753335417,0
00-0031585,2020_01_TEN_DEN,2020,1,TE,1.0,2.4718195087268575,0
00-0031598,2020_01_CLE_BAL,2020,1,TE,3.0,2.9341634704043758,0
00-0031610,2020_01_LV_CAR,2020,1,TE,8.0,5.194400503725631,0
00-0031951,2020_01_IND_JAX,2020,1,TE,1.0,2.639086089617452,0
00-0032134,2020_01_LAC_CIN,2020,1,TE,5.0,4.5512430544168385,0
00-0032392,2020_01_CLE_BAL,2020,1,TE,2.0,4.710187819465228,0
00-0033090,2020_01_LAC_CIN,2020,1,TE,8.0,5.118137237059162,0
00-0033110,2020_01_DAL_LA,2020,1,TE,4.0,5.23455472783626,0
00-0033217,2020_01_IND_JAX,2020,1,TE,2.0,2.5355891677341753,0
00-0033288,2020_01_ARI_SF,2020,1,TE,5.0,5.153153659834224,0
00-0033455,2020_01_TEN_DEN,2020,1,TE,2.0,2.4512083346991034,0
00-0033658,2020_01_DAL_LA,2020,1,TE,1.0,2.535817852973494,0
00-0033858,2020_01_TEN_DEN,2020,1,TE,7.0,4.850527872059755,0
00-0033879,2020_01_TB_NO,2020,1,TE,6.0,2.966854246648094,0
00-0033881,2020_01_PIT_NYG,2020,1,TE,7.0,5.2096092654149055,0
00-0034011,2020_01_ARI_SF,2020,1,TE,2.0,3.1097222205545605,0
00-0034159,2020_01_SEA_ATL,2020,1,TE,2.0,2.5861993361653983,0
00-0034192,2020_01_HOU_KC,2020,1,TE,0.0,2.2535947944810446,0
00-0034351,2020_01_PHI_WAS,2020,1,TE,9.0,4.654888669007188,0
00-0034364,2020_01_HOU_KC,2020,1,TE,2.0,4.8788431643445325,0
00-0034365,2020_01_LV_CAR,2020,1,TE,2.0,3.3113014687348574,0
00-0034383,2020_01_DAL_LA,2020,1,TE,4.0,3.876194671294609,0
00-0034439,2020_01_MIA_NE,2020,1,TE,2.0,4.72900703396614,0
00-0034753,2020_01_CLE_BAL,2020,1,TE,6.0,4.562874110680156,0
00-0034766,2020_01_NYJ_BUF,2020,1,TE,7.0,2.3772850642662946,0
00-0034829,2020_01_MIA_NE,2020,1,TE,5.0,4.521601876763032,0
00-0034830,2020_01_SEA_ATL,2020,1,TE,5.0,4.860135315393064,0
00-0034970,2020_01_GB_MIN,2020,1,TE,1.0,3.541582125613699,0
00-0034988,2020_01_PIT_NYG,2020,1,TE,2.0,2.430684674638136,0
00-0035229,2020_01_CHI_DET,2020,1,TE,5.0,3.5918345690741442,0
00-0035624,2020_01_MIA_NE,2020,1,TE,6.0,4.747147663010724,0
00-0035631,2020_01_LAC_CIN,2020,1,TE,1.0,2.5703242333959078,0
00-0035644,2020_01_TEN_DEN,2020,1,TE,6.0,4.83353552090886,0
