player_id,game_id,season,week,y_true,y_pred,fold_idx,max_train_season,lgbm_pred,catboost_pred
00-0019596,2021_02_ATL_TB,2021,2,29.64,21.405490707096302,0,2020,19.036540434690068,21.83000664332267
00-0022924,2021_02_LV_PIT,2021,2,13.8,14.342830410567363,0,2020,12.261467740346609,14.847161320709734
00-0023459,2021_02_DET_GB,2021,2,26.800000000000004,11.89503840264946,0,2020,10.746941387014314,11.749974172817945
00-0026143,2021_02_ATL_TB,2021,2,16.3,14.19529138015482,0,2020,13.728831626449717,13.394519050223654
00-0026498,2021_02_LA_IND,2021,2,17.220000000000002,20.5862481709578,0,2020,20.344652190377555,19.319245763783695
00-0027973,2021_02_CIN_CHI,2021,2,8.74,17.334282461977875,0,2020,17.243325706935934,16.089231069608143
00-0028118,2021_02_HOU_CLE,2021,2,16.5,20.250120926255406,0,2020,19.455472707678624,19.447231744323496
00-0029263,2021_02_TEN_SEA,2021,2,23.32,23.147417529710545,0,2020,22.51652622099519,22.08295780828576
00-0029604,2021_02_MIN_ARI,2021,2,25.26,18.417739047080065,0,2020,18.249457535441778,17.187414799905696
00-0029701,2021_02_TEN_SEA,2021,2,14.580000000000002,16.648552306862562,0,2020,14.582416813264148,17.038201432900212
00-0031237,2021_02_DEN_JAX,2021,2,21.22,19.835678622698445,0,2020,17.482771188507066,20.316823096492556
00-0031280,2021_02_LV_PIT,2021,2,24.18,18.749771850472268,0,2020,17.170614258166477,18.650650244061335
00-0031345,2021_02_SF_PHI,2021,2,19.56,14.823283537049475,0,2020,14.41230934744268,13.94957843626192
00-0031503,2021_02_NO_CAR,2021,2,8.34,20.542850612040425,0,2020,20.356303876998133,19.233062043742308
00-0031800,2021_02_NYG_WAS,2021,2,20.04,16.492631505761622,0,2020,16.25162286203128,15.406802063032329
00-0032950,2021_02_LA_IND,2021,2,17.580000000000002,18.788732397991286,0,2020,18.48612871300127,17.65104433467859
00-0033077,2021_02_DAL_LAC,2021,2,7.48,19.68274521535133,0,2020,18.78177604095181,18.991388335214246
00-0033106,2021_02_DET_GB,2021,2,18.44,19.651304949019103,0,2020,18.377263469433313,19.264358527095514
00-0033873,2021_02_KC_BAL,2021,2,24.02,23.201730620366416,0,2020,20.54667839653248,23.77891687504253
00-0034796,2021_02_KC_BAL,2021,2,32.260000000000005,19.992288647274368,0,2020,18.31455461049037,19.918097016379292
00-0034855,2021_02_HOU_CLE,2021,2,17.52,16.107671144136937,0,2020,13.389749883532296,17.050712199774743
00-0034857,2021_02_BUF_MIA,2021,2,16.66,20.075450714064093,0,2020,20.12185846542524,18.597193151173652
00-0034869,2021_02_NO_CAR,2021,2,18.9,16.801939597017213,0,2020,15.403795954009697,16.64222859174818
00-0035228,2021_02_MIN_ARI,2021,2,33.1,22.764879715388847,0,2020,22.27700690801152,21.60123278622372
00-0035710,2021_02_NYG_WAS,2021,2,29.46,18.943313836838943,0,2020,19.481143942041665,17.116152535224582
00-0036212,2021_02_BUF_MIA,2021,2,0.52,15.467654227230854,0,2020,14.747962789954304,14.816100958725038
00-0036355,2021_02_DAL_LAC,2021,2,14.72,16.40325630421342,0,2020,15.411484277964211,15.931174892513182
00-0036389,2021_02_SF_PHI,2021,2,21.8,23.510549622052316,0,2020,22.54316237978749,22.703283700658258
00-0036442,2021_02_CIN_CHI,2021,2,10.28,17.514602104441224,0,2020,16.283222381403686,17.187819097942906
00-0036971,2021_02_DEN_JAX,2021,2,6.8199999999999985,16.18335270470535,0,2020,14.984432310161257,15.889278525650091
00-0036972,2021_02_NE_NYJ,2021,2,7.44,16.518894372897293,0,2020,15.370411728323033,16.168964527035637
00-0037013,2021_02_NE_NYJ,2021,2,2.3000000000000007,15.449061348320335,0,2020,13.846918039508363,15.515074728033346
00-0019596,2021_03_TB_LA,2021,3,28.68,20.147295218212488,0,2020,18.92962310891316,19.692555631172965
00-0022924,2021_03_CIN_PIT,2021,3,13.22,16.584497019570286,0,2020,15.902088856949344,15.853102930827564
00-0023459,2021_03_GB_SF,2021,3,19.04,16.407920292562466,0,2020,15.16604579538976,16.138769172152994
00-0026143,2021_03_ATL_NYG,2021,3,15.619999999999996,15.51263371072146,0,2020,15.635201930183136,14.174987679226655
00-0026498,2021_03_TB_LA,2021,3,29.52,19.953385484785308,0,2020,20.57092997607554,18.016657990713476
00-0029263,2021_03_SEA_MIN,2021,3,16.62,22.362751668382746,0,2020,20.01361198430861,22.72869966016395
00-0029604,2021_03_SEA_MIN,2021,3,25.12,21.47452812632958,0,2020,19.19363215039511,21.824461482065505
00-0029701,2021_03_IND_TEN,2021,3,21.48,17.23888332653671,0,2020,17.217707922144402,15.941387636452468
00-0031237,2021_03_NYJ_DEN,2021,3,11.8,17.953121593914787,0,2020,17.090005083277504,17.3077704319182
00-0031280,2021_03_MIA_LV,2021,3,21.24,17.926655362566137,0,2020,17.413221810408103,16.998460487068595
00-0031345,2021_03_GB_SF,2021,3,14.68,18.027679141454318,0,2020,17.44240361307778,17.15335264917308
00-0031503,2021_03_NO_NE,2021,3,13.52,16.635818198227646,0,2020,16.488155669712715,15.467817777312046
00-0031800,2021_03_WAS_BUF,2021,3,21.380000000000003,16.609337326970874,0,2020,15.5636181432027,16.171928032194106
00-0032950,2021_03_IND_TEN,2021,3,7.76,19.699921731916834,0,2020,19.91773733012162,18.099107668406496
00-0033077,2021_03_PHI_DAL,2021,3,20.12,16.840238364940376,0,2020,15.773490669200443,16.409662770998782
00-0033106,2021_03_BAL_DET,2021,3,9.08,20.186957007258815,0,2020,18.154115432421296,20.392551225048475
00-0033119,2021_03_MIA_LV,2021,3,20.3,13.61864706451561,0,2020,13.578527768840804,12.497182150450575
00-0033873,2021_03_LAC_KC,2021,3,22.9,21.470872668415993,0,2020,21.250262887444155,20.147570634417608
00-0034796,2021_03_BAL_DET,2021,3,19.28,24.308630649357195,0,2020,22.93508960635696,23.7958353590134
00-0034855,2021_03_CHI_CLE,2021,3,16.94,19.30689730600014,0,2020,19.01708555947075,18.135826392166948
00-0034857,2021_03_WAS_BUF,2021,3,37.22,19.397120759635623,0,2020,17.538522853003556,19.49623963379884
00-0034869,2021_03_CAR_HOU,2021,3,25.26,19.043373357764626,0,2020,19.117459449148487,17.58843236783588
00-0035228,2021_03_ARI_JAX,2021,3,18.54,23.008532037593298,0,2020,21.21582502883419,22.893880621169515
00-0035710,2021_03_ATL_NYG,2021,3,16.54,22.667427671013986,0,2020,22.42770563332593,21.306553027795168
00-0036355,2021_03_LAC_KC,2021,3,30.840000000000003,15.663222759045977,0,2020,14.462247780015266,15.393897575367834
00-0036389,2021_03_PHI_DAL,2021,3,20.54,25.36584572038445,0,2020,24.95626787534381,24.023191184619307
00-0036442,2021_03_CIN_PIT,2021,3,17.58,14.753736891420512,0,2020,13.319090945320406,14.71456052233673
00-0036898,2021_03_CAR_HOU,2021,3,10.72,11.346646963533248,0,2020,12.342660025466914,9.48443633401202
00-0036945,2021_03_CHI_CLE,2021,3,3.92,16.05442979746526,0,2020,10.250564493826888,19.50628678645315
00-0036971,2021_03_ARI_JAX,2021,3,7.460000000000001,15.983051881316802,0,2020,14.797135830835147,15.687303506811048
00-0036972,2021_03_NO_NE,2021,3,11.6,14.421178737378764,0,2020,13.487817806492655,13.989607537817369
00-0037013,2021_03_NYJ_DEN,2021,3,2.6000000000000005,14.650651842828692,0,2020,13.028189206452671,14.768597503993972
00-0019596,2021_04_TB_NE,2021,4,11.06,17.96384867982519,0,2020,16.228060904133248,18.026819156959295
00-0022924,2021_04_PIT_GB,2021,4,9.28,15.287735624635252,0,2020,14.288344950284197,14.871342278803084
00-0023459,2021_04_PIT_GB,2021,4,24.12,16.678196958567057,0,2020,13.710770843749271,17.7985733778574
00-0026143,2021_04_WAS_ATL,2021,4,29.02,17.127942980405503,0,2020,17.586110881649983,15.446039808206953
00-0026498,2021_04_ARI_LA,2021,4,19.300000000000004,20.863538016609255,0,2020,20.91438404624248,19.346705053110593
00-0029263,2021_04_SEA_SF,2021,4,22.56,21.868778102642956,0,2020,20.12752750824916,21.76290836151514
00-0029604,2021_04_CLE_MIN,2021,4,10.12,21.662699372980455,0,2020,18.82116450290784,22.459642754437116
00-0029701,2021_04_TEN_NYJ,2021,4,18.82,17.47492471866458,0,2020,17.738543906285752,15.935640185858391
00-0031237,2021_04_BAL_DEN,2021,4,6.8,19.240595356874987,0,2020,18.16746476293072,18.70869069473578
00-0031280,2021_04_LV_LAC,2021,4,14.44,18.147043726633317,0,2020,17.702571746329966,17.153057647015018
00-0031345,2021_04_SEA_SF,2021,4,8.600000000000001,17.686393763550868,0,2020,17.363794415310522,16.61386163732237
00-0031503,2021_04_NYG_NO,2021,4,13.04,17.631117577220255,0,2020,17.87306083592395,16.102507685962042
00-0031800,2021_04_WAS_ATL,2021,4,27.9,18.91896342983329,0,2020,17.82199288327667,18.420694045148363
00-0032950,2021_04_IND_MIA,2021,4,17.92,16.99123476868696,0,2020,17.25889976363058,15.470127407728484
00-0033077,2021_04_CAR_DAL,2021,4,27.02,18.457454490633776,0,2020,17.488488167947143,17.875696997995114
00-0033106,2021_04_DET_CHI,2021,4,16.76,17.96106855395915,0,2020,17.336549192870308,17.121572310007686
00-0033119,2021_04_IND_MIA,2021,4,14.760000000000002,15.686380173926292,0,2020,15.27196720232934,14.777169085923909
00-0033873,2021_04_KC_PHI,2021,4,31.72,21.94241926184589,0,2020,19.98281648547007,22.010630925807735
00-0034796,2021_04_BAL_DEN,2021,4,19.44,20.465480123464435,0,2020,19.47525669679608,19.81188393047901
00-0034855,2021_04_CLE_MIN,2021,4,9.3,20.38779941597755,0,2020,19.125767355190582,19.958417570052134
00-0034857,2021_04_HOU_BUF,2021,4,20.020000000000003,21.353831680389817,0,2020,21.428604844992805,19.79580843826266
00-0034869,2021_04_CAR_DAL,2021,4,31.54,21.20142260961524,0,2020,21.54789210592302,19.429486230374753
00-0035228,2021_04_ARI_LA,2021,4,22.619999999999997,23.515891506977088,0,2020,22.361102122612955,22.86059958001438
00-0035710,2021_04_NYG_NO,2021,4,26.78,20.167855989870326,0,2020,19.22933029958684,19.485476826935248
00-0036355,2021_04_LV_LAC,2021,4,21.28,19.28865957066025,0,2020,18.44101016810827,18.57148265713747
00-0036389,2021_04_KC_PHI,2021,4,28.18,21.59729889246819,0,2020,21.44669723325267,20.211525102536307
00-0036442,2021_04_JAX_CIN,2021,4,22.32,15.58029230891749,0,2020,13.590733048424838,15.955147919732472
00-0036898,2021_04_HOU_BUF,2021,4,-4.319999999999999,11.667195402578493,0,2020,11.105817951921816,11.055698399598406
00-0036945,2021_04_DET_CHI,2021,4,7.26,10.858710127012431,0,2020,10.06458581562227,10.47212956770064
00-0036971,2021_04_JAX_CIN,2021,4,17.759999999999998,15.276743181099931,0,2020,15.421030763729696,13.931923731848284
00-0036972,2021_04_TB_NE,2021,4,16.9,17.907716101589198,0,2020,17.77909556897406,16.66781031023191
00-0037013,2021_04_TEN_NYJ,2021,4,17.680000000000003,15.707589780754036,0,2020,15.756405299876915,14.42119590500574
00-0019596,2021_05_MIA_TB,2021,5,37.739999999999995,17.769268415416004,0,2020,17.3750815384803,16.751203354786586
00-0022924,2021_05_DEN_PIT,2021,5,16.02,13.106151012022755,0,2020,12.388761136462728,12.557517642689373
00-0023459,2021_05_GB_CIN,2021,5,19.76,18.961543279712277,0,2020,16.590455239465328,19.49624318671649
00-0026143,2021_05_NYJ_ATL,2021,5,21.58,15.532917973747994,0,2020,15.3530850247983,14.439986943567384
00-0026498,2021_05_LA_SEA,2021,5,16.5,21.777176372556788,0,2020,21.00472620569002,20.888496068604127
00-0027973,2021_05_CHI_LV,2021,5,0.32,13.393064244585172,0,2020,14.606558613335633,11.263404146527993
00-0029263,2021_05_LA_SEA,2021,5,9.08,21.856296918127118,0,2020,20.399640952890913,21.51982867982395
00-0029604,2021_05_DET_MIN,2021,5,13.4,18.7160743250566,0,2020,18.17962869862443,17.771540575922515
00-0029701,2021_05_TEN_JAX,2021,5,13.98,18.251185171232365,0,2020,18.128044381760343,16.991587559326778
00-0031237,2021_05_DEN_PIT,2021,5,18.62,16.36054992474803,0,2020,14.63475348516091,16.486550003234303
00-0031280,2021_05_CHI_LV,2021,5,7.24,16.94229079034548,0,2020,16.126330683931332,16.30349301035141
00-0031503,2021_05_NO_WAS,2021,5,25.76,16.368312867514387,0,2020,16.079998513419486,15.32642239496962
00-0031800,2021_05_NO_WAS,2021,5,9.92,18.885207545420357,0,2020,16.483379225538425,19.448262521463914
00-0032950,2021_05_IND_BAL,2021,5,22.58,18.162724345795958,0,2020,17.91886712997501,17.00509991536711
00-0033077,2021_05_NYG_DAL,2021,5,20.68,22.874326187009796,0,2020,21.653367010975035,22.301247227527437
00-0033106,2021_05_DET_MIN,2021,5,6.120000000000001,19.870700911371323,0,2020,20.124794862484467,18.23284283632862
00-0033119,2021_05_MIA_TB,2021,5,15.0,17.671790341419882,0,2020,17.131509781321704,16.77671040964897
00-0033873,2021_05_BUF_KC,2021,5,18.980000000000004,21.109005792261172,0,2020,21.2312497452275,19.52328990780063
00-0034796,2021_05_IND_BAL,2021,5,41.88,23.722247869166665,0,2020,23.250496288062525,22.503024798225265
00-0034855,2021_05_CLE_LAC,2021,5,23.000000000000004,17.422941223836602,0,2020,16.448399794178233,16.891617379856854
00-0034857,2021_05_BUF_KC,2021,5,36.5,22.640492539650147,0,2020,22.421522815849432,21.263957751811464
00-0034869,2021_05_PHI_CAR,2021,5,6.08,20.5899273017424,0,2020,19.44689906087809,20.05491942250448
00-0035228,2021_05_SF_ARI,2021,5,13.66,21.387594245584594,0,2020,19.978134355779098,21.033590792150186
00-0035710,2021_05_NYG_DAL,2021,5,4.82,22.40283784963828,0,2020,22.362955674434783,20.891390954627035
00-0036355,2021_05_CLE_LAC,2021,5,42.82,18.288889589716675,0,2020,17.893783319000377,17.24851362291238
00-0036389,2021_05_PHI_CAR,2021,5,22.92,20.06365304244017,0,2020,17.555716690446257,20.66059836836861
00-0036442,2021_05_GB_CIN,2021,5,18.340000000000003,16.294203078780896,0,2020,15.250579825934976,15.869075191767564
00-0036898,2021_05_NE_HOU,2021,5,24.68,11.037702413215033,0,2020,11.86617254307075,9.325281943975432
00-0036945,2021_05_CHI_LV,2021,5,8.840000000000002,13.246058457866154,0,2020,11.921672893018004,13.184228505422077
00-0036971,2021_05_TEN_JAX,2021,5,21.72,17.06761856462156,0,2020,16.241983213131547,16.431117883888845
00-0036972,2021_05_NE_HOU,2021,5,11.54,15.84492190917118,0,2020,14.978257333320004,15.296001725076025
00-0037012,2021_05_SF_ARI,2021,5,14.58,15.21085021497872,0,2020,16.78370084530446,12.708652805534289
00-0037013,2021_05_NYJ_ATL,2021,5,7.98,14.971741696830762,0,2020,13.965403308431624,14.57501330011076
00-0019596,2021_06_TB_PHI,2021,6,17.980000000000004,19.642760520456257,0,2020,18.76994001203699,18.93031512041984
00-0022924,2021_06_SEA_PIT,2021,6,10.86,15.665886831079165,0,2020,14.174216549118816,15.632550834192658
00-0023459,2021_06_GB_CHI,2021,6,23.7,16.42383552502981,0,2020,14.639774332626416,16.594350940106207
00-0026498,2021_06_LA_NYG,2021,6,25.24,19.005314669744614,0,2020,18.440861937326993,18.07069400134334
00-0029604,2021_06_MIN_CAR,2021,6,28.520000000000003,17.447572232878727,0,2020,15.12428960482199,18.01062471548631
00-0029701,2021_06_BUF_TEN,2021,6,12.94,17.7229865134119,0,2020,16.807952520693757,17.13001557205665
00-0030565,2021_06_SEA_PIT,2021,6,10.26,14.989367722900758,0,2020,15.751498224134023,13.155478303225756
00-0031237,2021_06_LV_DEN,2021,6,18.26,17.144819869497557,0,2020,16.1021325925533,16.681186526796985
00-0031280,2021_06_LV_DEN,2021,6,21.54,15.422447567973853,0,2020,15.166358452728709,14.396355033084266
00-0031800,2021_06_KC_WAS,2021,6,9.28,18.911916299906743,0,2020,18.575229150607633,17.796445216357526
00-0032950,2021_06_HOU_IND,2021,6,17.020000000000003,18.592079363671196,0,2020,18.339484237996004,17.422499819023876
00-0033077,2021_06_DAL_NE,2021,6,26.8,20.06820441846395,0,2020,19.05192021939867,19.4534039029654
00-0033106,2021_06_CIN_DET,2021,6,8.18,19.42205698727889,0,2020,20.43993972959972,17.18374547736856
00-0033119,2021_06_MIA_JAX,2021,6,1.0,16.789632623110773,0,2020,15.857543565106631,16.25193069447943
00-0033873,2021_06_KC_WAS,2021,6,22.980000000000004,21.951577574349322,0,2020,19.456382258708707,22.454399725563977
00-0034796,2021_06_LAC_BAL,2021,6,11.78,23.50187855367601,0,2020,21.70737700286504,23.36679295138846
00-0034855,2021_06_ARI_CLE,2021,6,12.16,17.74035933233338,0,2020,17.17744265647575,16.860622139882505
00-0034857,2021_06_BUF_TEN,2021,6,28.72,25.005496481646436,0,2020,24.82372888690202,23.493800920254422
00-0034869,2021_06_MIN_CAR,2021,6,15.079999999999998,19.014772729773913,0,2020,18.096391621189905,18.367198691451357
00-0035228,2021_06_ARI_CLE,2021,6,25.76,22.38832170895814,0,2020,22.2175790947585,20.98380590674328
00-0035710,2021_06_LA_NYG,2021,6,4.08,19.243043105646656,0,2020,19.981168262883717,17.239898763544154
00-0036212,2021_06_MIA_JAX,2021,6,21.36,11.13053857901227,0,2020,12.314160023557946,9.125538988795466
00-0036355,2021_06_LAC_BAL,2021,6,11.0,20.78584639100026,0,2020,18.766742941842484,20.95370718460196
00-0036389,2021_06_TB_PHI,2021,6,25.0,24.252496806222837,0,2020,22.819610726223797,23.79039339104873
00-0036442,2021_06_CIN_DET,2021,6,22.84,17.78556793705488,0,2020,16.934505904504707,17.137860954364534
00-0036898,2021_06_HOU_IND,2021,6,6.220000000000001,13.428155012118639,0,2020,12.421259003931496,13.100374587044552
00-0036945,2021_06_GB_CHI,2021,6,13.260000000000002,13.397854495438242,0,2020,11.437246885666768,13.846038532201746
00-0036971,2021_06_MIA_JAX,2021,6,15.86,17.37319554807545,0,2020,16.860889803638578,16.46864385628412
00-0036972,2021_06_DAL_NE,2021,6,14.759999999999998,18.56754606858323,0,2020,18.31713673612366,17.39727982713254
00-0019596,2021_07_CHI_TB,2021,7,24.44,18.38055010521946,0,2020,17.607475007440392,17.64309916050738
00-0023459,2021_07_WAS_GB,2021,7,24.66,17.91876301080668,0,2020,16.910931628079407,17.392476222954894
00-0026143,2021_07_ATL_MIA,2021,7,17.439999999999998,16.34563345815171,0,2020,15.994422977539026,15.355834606895415
00-0026498,2021_07_DET_LA,2021,7,27.16,20.684804371312378,0,2020,21.94716842774683,18.1918880942982
00-0029701,2021_07_KC_TEN,2021,7,19.4,17.769755794147777,0,2020,16.824549276289233,17.199216124679975
00-0030565,2021_07_NO_SEA,2021,7,11.88,13.501404901109064,0,2020,14.508913872402566,11.534241952439944
00-0031237,2021_07_DEN_CLE,2021,7,13.78,17.290640942049965,0,2020,16.354182497261977,16.734256173291108
00-0031280,2021_07_PHI_LV,2021,7,19.020000000000003,17.972879355550607,0,2020,17.675388954019077,16.867240836739743
00-0031345,2021_07_IND_SF,2021,7,5.24,13.979311580092483,0,2020,13.861334044760198,12.905080265849245
00-0031503,2021_07_NO_SEA,2021,7,16.880000000000003,16.985959264717515,0,2020,15.655185554558194,16.763363633453046
00-0031800,2021_07_WAS_GB,2021,7,20.22,18.150953064806227,0,2020,18.103753458450885,16.834122498239367
00-0032950,2021_07_IND_SF,2021,7,20.3,16.334404766711398,0,2020,15.87202784646596,15.43539534793579
00-0033106,2021_07_DET_LA,2021,7,11.02,17.552680513715895,0,2020,17.097889989675163,16.593449574659328
00-0033873,2021_07_KC_TEN,2021,7,7.74,22.15002320219516,0,2020,20.623596532990906,21.857190051945437
00-0034796,2021_07_CIN_BAL,2021,7,23.08,22.84483748452035,0,2020,21.78976370921786,22.138332264216903
00-0034869,2021_07_CAR_NYG,2021,7,2.4800000000000004,18.644676959347674,0,2020,17.359900765903102,18.31111752145927
00-0035228,2021_07_HOU_ARI,2021,7,21.44,22.18358166838889,0,2020,21.896265511935383,20.8828339005314
00-0035710,2021_07_CAR_NYG,2021,7,17.520000000000003,18.494519366898476,0,2020,19.202784214846737,16.548843015772707
00-0036212,2021_07_ATL_MIA,2021,7,26.54,16.270515743680114,0,2020,16.206510083143286,15.050777787471262
00-0036389,2021_07_PHI_LV,2021,7,23.54,21.233673042015305,0,2020,19.208135519742456,21.38688784850029
00-0036442,2021_07_CIN_BAL,2021,7,26.64,17.87666498959256,0,2020,15.7803219911627,18.236352906006083
00-0036898,2021_07_HOU_ARI,2021,7,3.4000000000000004,14.01995902867954,0,2020,13.455031148823842,13.3069442870247
00-0036945,2021_07_CHI_TB,2021,7,1.16,14.512218512974448,0,2020,13.331976431678056,14.277128360060754
00-0036972,2021_07_NYJ_NE,2021,7,22.18,17.05164770699786,0,2020,17.889178948924677,15.06500504956955
00-0037013,2021_07_NYJ_NE,2021,7,2.04,13.797422932753703,0,2020,13.633605940625664,12.76849428361136
00-0019596,2021_08_TB_NO,2021,8,25.2,18.801987469065867,0,2020,18.019898146818132,18.05315717502583
